Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
2024-02-11 23:50:06,,UTC-08:00,Have any alcoholic drinks?,false,
2024-02-11 23:50:06,,UTC-08:00,Have any caffeine? ,false,
2024-02-11 23:50:06,,UTC-08:00,Eat any food close to bedtime?,false,
2024-02-11 23:50:06,,UTC-08:00,Used marijuana,true,
2024-02-11 23:50:06,,UTC-08:00,Engage in sexual activity?,false,
2024-02-11 23:50:06,,UTC-08:00,Share your bed?,false,
2024-02-11 23:50:06,,UTC-08:00,Spend time stretching?,false,
2024-02-11 23:50:06,,UTC-08:00,Watch the sunset?,false,
2024-02-11 23:50:06,,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-02-11 00:33:28,2024-02-11 23:50:06,UTC-08:00,Have any alcoholic drinks?,true,
2024-02-11 00:33:28,2024-02-11 23:50:06,UTC-08:00,Have any caffeine? ,false,
2024-02-11 00:33:28,2024-02-11 23:50:06,UTC-08:00,Eat any food close to bedtime?,false,
2024-02-11 00:33:28,2024-02-11 23:50:06,UTC-08:00,Used marijuana,true,
2024-02-11 00:33:28,2024-02-11 23:50:06,UTC-08:00,Engage in sexual activity?,false,
2024-02-11 00:33:28,2024-02-11 23:50:06,UTC-08:00,Share your bed?,false,
2024-02-11 00:33:28,2024-02-11 23:50:06,UTC-08:00,Spend time stretching?,false,
2024-02-11 00:33:28,2024-02-11 23:50:06,UTC-08:00,Watch the sunset?,false,
2024-02-11 00:33:28,2024-02-11 23:50:06,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-02-10 01:15:09,2024-02-11 00:33:28,UTC-08:00,Have any alcoholic drinks?,false,
2024-02-10 01:15:09,2024-02-11 00:33:28,UTC-08:00,Have any caffeine? ,false,
2024-02-10 01:15:09,2024-02-11 00:33:28,UTC-08:00,Eat any food close to bedtime?,true,
2024-02-10 01:15:09,2024-02-11 00:33:28,UTC-08:00,Used marijuana,true,
2024-02-10 01:15:09,2024-02-11 00:33:28,UTC-08:00,Engage in sexual activity?,false,
2024-02-10 01:15:09,2024-02-11 00:33:28,UTC-08:00,Share your bed?,false,
2024-02-10 01:15:09,2024-02-11 00:33:28,UTC-08:00,Spend time stretching?,false,
2024-02-10 01:15:09,2024-02-11 00:33:28,UTC-08:00,Watch the sunset?,false,
2024-02-10 01:15:09,2024-02-11 00:33:28,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-02-08 23:14:15,2024-02-10 01:15:09,UTC-08:00,Have any alcoholic drinks?,false,
2024-02-08 23:14:15,2024-02-10 01:15:09,UTC-08:00,Have any caffeine? ,false,
2024-02-08 23:14:15,2024-02-10 01:15:09,UTC-08:00,Eat any food close to bedtime?,false,
2024-02-08 23:14:15,2024-02-10 01:15:09,UTC-08:00,Used marijuana,false,
2024-02-08 23:14:15,2024-02-10 01:15:09,UTC-08:00,Engage in sexual activity?,false,
2024-02-08 23:14:15,2024-02-10 01:15:09,UTC-08:00,Share your bed?,false,
2024-02-08 23:14:15,2024-02-10 01:15:09,UTC-08:00,Spend time stretching?,false,
2024-02-08 23:14:15,2024-02-10 01:15:09,UTC-08:00,Watch the sunset?,false,
2024-02-08 23:14:15,2024-02-10 01:15:09,UTC-08:00,Use a weighted blanket while sleeping?,true,
2024-02-07 23:17:40,2024-02-08 23:14:15,UTC-08:00,Have any alcoholic drinks?,false,
2024-02-07 23:17:40,2024-02-08 23:14:15,UTC-08:00,Have any caffeine? ,false,
