Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-02-10 01:15:09,2024-02-11 00:33:28,UTC-08:00,2024-02-10 16:27:00,2024-02-10 17:05:00,38,Weightlifting,4.2,62.0,123,87,28,1,0,0,0,false,,,
2024-02-10 01:15:09,2024-02-11 00:33:28,UTC-08:00,2024-02-10 16:10:30,2024-02-10 16:26:59,16,Walking,4.6,66.0,130,107,58,32,0,0,0,false,,,
2024-02-07 23:17:40,2024-02-08 23:14:15,UTC-08:00,2024-02-08 16:36:00,2024-02-08 16:59:26,23,Walking,4.6,57.0,124,99,72,2,0,0,0,false,,,
2024-02-06 23:55:52,2024-02-07 23:17:40,UTC-08:00,2024-02-07 18:45:34,2024-02-07 19:26:06,40,Swimming,9.1,327.0,167,128,28,25,37,10,0,true,42.98,3.95,-0.18
2024-02-06 00:27:34,2024-02-06 23:55:52,UTC-08:00,2024-02-06 16:19:24,2024-02-06 17:07:47,48,Swimming,6.0,173.0,148,104,50,21,7,0,0,true,23.12,6.66,1.14
2024-02-06 00:27:34,2024-02-06 23:55:52,UTC-08:00,2024-02-06 09:04:30,2024-02-06 09:20:59,16,Walking,4.6,62.0,129,107,83,14,0,0,0,false,,,
2024-02-01 01:51:29,2024-02-02 00:17:28,UTC-08:00,2024-02-01 14:34:30,2024-02-01 14:53:59,19,Walking,4.6,61.0,134,103,63,18,0,0,0,false,,,
2024-01-30 01:05:26,2024-01-30 23:18:42,UTC-08:00,2024-01-30 17:12:38,2024-01-30 17:46:44,34,Swimming,7.1,204.0,177,117,28,47,10,7,0,true,75.23,5.28,1.12
2024-01-30 01:05:26,2024-01-30 23:18:42,UTC-08:00,2024-01-30 08:25:30,2024-01-30 08:49:29,23,Walking,4.8,76.0,125,104,78,13,0,0,0,false,,,
2024-01-27 23:48:45,2024-01-29 00:54:37,UTC-08:00,2024-01-28 10:34:05,2024-01-28 11:05:33,31,Spin,12.2,363.0,187,146,13,19,15,26,24,false,,,
2024-01-25 00:16:47,2024-01-25 22:48:22,UTC-08:00,2024-01-25 17:24:35,2024-01-25 18:00:51,36,Walking,4.7,89.0,133,98,46,11,0,0,0,false,2974.90,117.82,5.44
2024-01-25 00:16:47,2024-01-25 22:48:22,UTC-08:00,2024-01-25 16:37:35,2024-01-25 17:14:40,37,Walking,4.8,101.0,139,99,36,17,1,0,0,true,2953.51,99.19,-2.66
2024-01-23 23:04:02,2024-01-25 00:16:47,UTC-08:00,2024-01-24 19:00:05,2024-01-24 19:20:14,20,Weightlifting,4.3,43.0,124,94,59,6,0,0,0,false,,,
2024-01-22 23:55:03,2024-01-23 23:04:02,UTC-08:00,2024-01-23 19:05:14,2024-01-23 19:38:00,32,Weightlifting,5.0,104.0,129,103,63,21,0,0,0,false,,,
2024-01-18 23:45:06,2024-01-20 03:20:39,UTC-08:00,2024-01-19 15:17:45,2024-01-19 15:47:58,30,Weightlifting,4.6,75.0,131,98,58,10,0,0,0,false,,,
2024-01-18 00:04:49,2024-01-18 23:45:06,UTC-08:00,2024-01-18 16:29:53,2024-01-18 17:07:34,37,Running,14.5,543.0,188,161,4,5,10,51,30,true,5835.82,147.02,2.45
2024-01-14 00:24:04,2024-01-15 00:56:11,UTC-06:00,2024-01-14 10:01:30,2024-01-14 11:01:29,59,Tennis,8.4,385.0,151,122,21,67,12,0,0,false,,,
2024-01-13 00:49:57,2024-01-14 00:24:04,UTC-06:00,2024-01-13 12:50:00,2024-01-13 15:00:00,130,Pickleball,7.7,402.0,137,102,48,22,0,0,0,false,,,
2024-01-09 23:53:59,2024-01-10 23:17:47,UTC-08:00,2024-01-10 19:07:17,2024-01-10 19:45:34,38,Weightlifting,5.5,144.0,143,105,34,31,5,0,0,false,,,
2024-01-08 22:54:45,2024-01-09 23:53:59,UTC-08:00,2024-01-09 18:36:46,2024-01-09 19:17:32,40,Weightlifting,4.9,113.0,131,99,46,17,0,0,0,false,,,
2024-01-07 23:44:55,2024-01-08 22:54:45,UTC-08:00,2024-01-08 09:56:36,2024-01-08 10:31:07,34,Running,15.7,577.0,194,173,0,2,10,23,65,true,576.88,62.12,1.55
2024-01-06 22:52:46,2024-01-07 23:44:55,UTC-08:00,2024-01-07 13:40:32,2024-01-07 14:26:09,45,Weightlifting,10.4,262.0,191,117,49,10,8,5,13,false,,,
2024-01-04 23:41:35,2024-01-05 23:20:52,UTC-07:00,2024-01-05 10:33:34,2024-01-05 11:58:55,85,Skiing,4.7,156.0,127,90,26,5,0,0,0,true,21278.18,2670.31,540.41
2024-01-03 01:25:22,2024-01-03 23:01:29,UTC-07:00,2024-01-03 13:53:44,2024-01-03 15:11:32,77,Cross Country Skiing,17.9,1046.0,188,156,4,24,7,16,47,false,4976.07,559.21,-9.00
2023-12-11 01:01:14,2023-12-12 01:07:23,UTC-08:00,2023-12-11 14:36:00,2023-12-11 15:16:29,40,Weightlifting,5.9,167.0,163,111,49,34,10,0,0,false,,,
2023-12-10 04:17:31,2023-12-11 01:01:14,UTC-08:00,2023-12-10 17:36:22,2023-12-10 18:24:08,47,Weightlifting,5.3,139.0,148,101,41,26,2,0,0,false,,,
2023-11-28 22:40:45,2023-11-29 21:20:35,UTC-08:00,2023-11-29 16:39:00,2023-11-29 17:10:29,31,Swimming,6.8,215.0,154,126,12,48,37,0,0,false,,,
2023-11-24 01:58:06,2023-11-25 02:12:34,UTC+01:00,2023-11-24 22:01:30,2023-11-24 22:32:59,31,Cycling,9.6,325.0,184,143,0,28,41,28,3,false,,,
2023-11-06 23:05:22,2023-11-07 23:04:49,UTC-08:00,2023-11-07 18:54:00,2023-11-07 19:26:59,32,Weightlifting,9.6,236.0,193,124,50,23,4,7,13,false,,,
2023-10-31 23:37:36,2023-11-02 00:46:10,UTC-07:00,2023-11-01 19:45:05,2023-11-01 20:23:50,38,Weightlifting,5.3,128.0,131,102,44,28,0,0,0,false,,,
2023-10-29 23:41:02,2023-10-31 00:27:04,UTC-07:00,2023-10-30 20:04:56,2023-10-30 20:55:15,50,Weightlifting,5.9,183.0,141,103,47,25,3,0,0,false,,,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,2023-10-27 16:00:11,2023-10-27 16:48:52,48,Weightlifting,9.6,275.0,184,114,51,15,3,6,7,false,,,
2023-10-22 20:24:29,2023-10-24 00:10:38,UTC-07:00,2023-10-23 18:20:15,2023-10-23 19:06:51,46,Weightlifting,6.0,188.0,146,106,51,27,2,0,0,false,,,
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,2023-10-19 16:58:30,2023-10-19 17:43:29,44,Weightlifting,6.2,206.0,133,109,57,37,0,0,0,false,,,
2023-10-16 21:50:04,2023-10-17 23:29:23,UTC-07:00,2023-10-17 16:28:44,2023-10-17 17:14:07,45,Weightlifting,6.0,184.0,145,106,52,30,1,0,0,false,,,
2023-10-16 21:50:04,2023-10-17 23:29:23,UTC-07:00,2023-10-17 08:57:00,2023-10-17 09:17:59,20,Activity,4.8,77.0,128,105,72,18,0,0,0,false,,,
2023-10-15 22:18:36,2023-10-16 21:50:04,UTC-07:00,2023-10-16 19:58:32,2023-10-16 20:34:50,36,Weightlifting,5.0,106.0,148,99,54,7,2,0,0,false,,,
2023-10-14 21:16:32,2023-10-15 22:18:36,UTC-07:00,2023-10-15 09:07:30,2023-10-15 09:43:51,36,Weightlifting,6.0,170.0,159,109,31,39,9,1,0,false,,,
2023-10-11 00:34:59,2023-10-11 23:32:00,UTC-07:00,2023-10-11 15:34:30,2023-10-11 16:04:18,29,Weightlifting,8.8,265.0,188,132,7,57,20,9,7,false,,,
2023-10-08 21:40:11,2023-10-09 22:11:15,UTC-07:00,2023-10-09 18:37:13,2023-10-09 19:19:24,42,Weightlifting,5.3,138.0,135,102,42,27,0,0,0,false,,,
2023-10-06 00:29:53,2023-10-06 22:32:32,UTC-07:00,2023-10-06 12:50:43,2023-10-06 13:19:41,28,Spin,7.1,226.0,148,128,17,36,43,0,0,false,,,
2023-10-04 00:00:00,2023-10-04 21:35:55,UTC-07:00,2023-10-04 18:53:30,2023-10-04 19:30:16,36,Swimming,8.9,313.0,173,134,5,34,40,19,0,true,67.53,3.46,8.16
